EXEMPLOS DE SOLUÇÕES

# MÉTODO: Primeiro caso

        x1 |        x2 |        x3 |        x4 |       x5 |       x6 |   res.
   -1 |   -1 |    0 |    0 | -95.6893  |  95.6893  |      0
    1 |   -1 |    0 |    0 | -95.6893  | -95.6893  |      0
   -1 |    1 |    0 |    0 | -95.6893  | -95.6893  |      0
    1 |    1 |    0 |    0 | -93.3729  |  93.3729  |      0
   -1 |   -1 |    0 |    0 | -93.3729  |  93.3729  |      0
    1 |   -1 |    0 |    0 | -93.3729  | -93.3729  |      0
   -1 |    1 |    0 |    0 | -93.3729  | -93.3729  |      0
    1 |    1 |    0 |    0 | -26.9867  |  26.9867  |      0
   -1 |   -1 |    0 |    0 | -26.9867  |  26.9867  |      0
    1 |   -1 |    0 |    0 | -26.9867  | -26.9867  |      0
   -1 |    1 |    0 |    0 | -26.9867  | -26.9867  |      0
    1 |    1 |    0 |    0 |  62.9293  | -62.9293  |      0
   -1 |   -1 |    0 |    0 |  62.9293  | -62.9293  |      0
    1 |   -1 |    0 |    0 |  62.9293  |  62.9293  |      0
   -1 |    1 |    0 |    0 |  62.9293  |  62.9293  |      0

# MÉTODO: Segundo sub-caso

   x1 |   x2 |   x3 |   x4 |       x5 |       x6 |   res.
------+------+------+------+----------+----------+--------
    0 |    0 |    1 |    1 | -32.9069 |  32.9069 |      0
    0 |    0 |   -1 |   -1 | -32.9069 |  32.9069 |      0
    0 |    0 |    1 |   -1 | -32.9069 | -32.9069 |      0
    0 |    0 |   -1 |    1 | -32.9069 | -32.9069 |      0
    0 |    0 |    1 |    1 | -52.148  |  52.148  |      0
    0 |    0 |   -1 |   -1 | -52.148  |  52.148  |      0
    0 |    0 |    1 |   -1 | -52.148  | -52.148  |      0
    0 |    0 |   -1 |    1 | -52.148  | -52.148  |      0
    0 |    0 |    1 |    1 |  35.2873 | -35.2873 |      0
    0 |    0 |   -1 |   -1 |  35.2873 | -35.2873 |      0
    0 |    0 |    1 |   -1 |  35.2873 |  35.2873 |      0
    0 |    0 |   -1 |    1 |  35.2873 |  35.2873 |      0
    0 |    0 |    1 |    1 | -68.4226 |  68.4226 |      0
    0 |    0 |   -1 |   -1 | -68.4226 |  68.4226 |      0
    0 |    0 |    1 |   -1 | -68.4226 | -68.4226 |      0
    0 |    0 |   -1 |    1 | -68.4226 | -68.4226 |      0
    0 |    0 |    1 |    1 | -14.7076 |  14.7076 |      0
    0 |    0 |   -1 |   -1 | -14.7076 |  14.7076 |      0
    0 |    0 |    1 |   -1 | -14.7076 | -14.7076 |      0
    0 |    0 |   -1 |    1 | -14.7076 | -14.7076 |      0
    0 |    0 |    1 |    1 |  39.378  | -39.378  |      0
    0 |    0 |   -1 |   -1 |  39.378  | -39.378  |      0
    0 |    0 |    1 |   -1 |  39.378  |  39.378  |      0
    0 |    0 |   -1 |    1 |  39.378  |  39.378  |      0
    0 |    0 |    1 |    1 | -32.6117 |  32.6117 |      0
    0 |    0 |   -1 |   -1 | -32.6117 |  32.6117 |      0
    0 |    0 |    1 |   -1 | -32.6117 | -32.6117 |      0
    0 |    0 |   -1 |    1 | -32.6117 | -32.6117 |      0
    0 |    0 |    1 |    1 |  64.5595 | -64.5595 |      0
    0 |    0 |   -1 |   -1 |  64.5595 | -64.5595 |      0
    0 |    0 |    1 |   -1 |  64.5595 |  64.5595 |      0
    0 |    0 |   -1 |    1 |  64.5595 |  64.5595 |      0
    0 |    0 |    1 |    1 |  87.2548 | -87.2548 |      0
    0 |    0 |   -1 |   -1 |  87.2548 | -87.2548 |      0
    0 |    0 |    1 |   -1 |  87.2548 |  87.2548 |      0
    0 |    0 |   -1 |    1 |  87.2548 |  87.2548 |      0
    0 |    0 |    1 |    1 | -15.7993 |  15.7993 |      0
    0 |    0 |   -1 |   -1 | -15.7993 |  15.7993 |      0
    0 |    0 |    1 |   -1 | -15.7993 | -15.7993 |      0
    0 |    0 |   -1 |    1 | -15.7993 | -15.7993 |      0
    0 |    0 |    1 |    1 | -34.9012 |  34.9012 |      0
    0 |    0 |   -1 |   -1 | -34.9012 |  34.9012 |      0
    0 |    0 |    1 |   -1 | -34.9012 | -34.9012 |      0
    0 |    0 |   -1 |    1 | -34.9012 | -34.9012 |      0
    0 |    0 |    1 |    1 |  11.9561 | -11.9561 |      0
    0 |    0 |   -1 |   -1 |  11.9561 | -11.9561 |      0
    0 |    0 |    1 |   -1 |  11.9561 |  11.9561 |      0
    0 |    0 |   -1 |    1 |  11.9561 |  11.9561 |      0
    0 |    0 |    1 |    1 | -84.494  |  84.494  |      0
    0 |    0 |   -1 |   -1 | -84.494  |  84.494  |      0
    0 |    0 |    1 |   -1 | -84.494  | -84.494  |      0
    0 |    0 |   -1 |    1 | -84.494  | -84.494  |      0
    0 |    0 |    1 |    1 |  24.2275 | -24.2275 |      0
    0 |    0 |   -1 |   -1 |  24.2275 | -24.2275 |      0
    0 |    0 |    1 |   -1 |  24.2275 |  24.2275 |      0
    0 |    0 |   -1 |    1 |  24.2275 |  24.2275 |      0
    0 |    0 |    1 |    1 | -13.0342 |  13.0342 |      0
    0 |    0 |   -1 |   -1 | -13.0342 |  13.0342 |      0
    0 |    0 |    1 |   -1 | -13.0342 | -13.0342 |      0
    0 |    0 |   -1 |    1 | -13.0342 | -13.0342 |      0

# MÉTODO: Terceiro sub-caso

   x1 |   x2 |   x3 |   x4 |   x5 |   x6 |   res.
------+------+------+------+------+------+--------
    1 |    0 |    0 |    1 |    0 |    0 |      0
   -1 |    0 |    0 |   -1 |    0 |    0 |      0
    1 |    0 |    0 |   -1 |    0 |    0 |      0
   -1 |    0 |    0 |    1 |    0 |    0 |      0

# MÉTODO: Quarto sub-caso

   x1 |   x2 |   x3 |   x4 |   x5 |   x6 |   res.
------+------+------+------+------+------+--------
    0 |    1 |    1 |    0 |    0 |    0 |      0
    0 |   -1 |   -1 |    0 |    0 |    0 |      0
    0 |    1 |   -1 |    0 |    0 |    0 |      0
    0 |   -1 |    1 |    0 |    0 |    0 |      0

# MÉTODO: Quinto Sub-caso 1

        x1 |         x2 |        x3 |        x4 |   x5 |   x6 |   res.
-----------+------------+-----------+-----------+------+------+--------
 -0.999758 | -0.0219874 | 0.0219874 |  0.999758 |    0 |    0 |      0
 -0.999517 | -0.0310818 | 0.0310818 |  0.999517 |    0 |    0 |      0
 -0.999803 | -0.0198432 | 0.0198432 |  0.999803 |    0 |    0 |      0
 -0.999695 | -0.0246853 | 0.0246853 |  0.999695 |    0 |    0 |      0
 -0.999916 | -0.0129551 | 0.0129551 |  0.999916 |    0 |    0 |      0
 -0.999851 |  0.0172337 | 0.0172337 | -0.999851 |    0 |    0 |      0
 -0.99987  |  0.0161266 | 0.0161266 | -0.99987  |    0 |    0 |      0
 -0.99984  |  0.0179094 | 0.0179094 | -0.99984  |    0 |    0 |      0
 -0.990586 |  0.13689   | 0.13689   | -0.990586 |    0 |    0 |      0
 -0.999906 |  0.0137292 | 0.0137292 | -0.999906 |    0 |    0 |      0
 -0.999928 | -0.0119706 | 0.0119706 |  0.999928 |    0 |    0 |      0
 -0.999278 |  0.0379909 | 0.0379909 | -0.999278 |    0 |    0 |      0
 -0.999933 |  0.0115982 | 0.0115982 | -0.999933 |    0 |    0 |      0
 -0.999806 | -0.0196951 | 0.0196951 |  0.999806 |    0 |    0 |      0
 -0.999929 | -0.0119109 | 0.0119109 |  0.999929 |    0 |    0 |      0

# MÉTODO: Quinto Sub-caso 2

        x1 |         x2 |         x3 |        x4 |   x5 |   x6 |   res.
-----------+------------+------------+-----------+------+------+--------
 -0.999833 | -0.0182932 |  0.0182932 |  0.999833 |    0 |    0 |      0
 -0.479529 |  0.877526  | -0.877526  |  0.479529 |    0 |    0 |      0
 -0.999902 |  0.0139792 |  0.0139792 | -0.999902 |    0 |    0 |      0
 -0.999886 | -0.0151224 |  0.0151224 |  0.999886 |    0 |    0 |      0
 -0.97881  |  0.204769  |  0.204769  | -0.97881  |    0 |    0 |      0
 -0.999933 | -0.0115832 |  0.0115832 |  0.999933 |    0 |    0 |      0
 -0.999925 | -0.0122404 |  0.0122404 |  0.999925 |    0 |    0 |      0
 -0.99917  |  0.0407375 |  0.0407375 | -0.99917  |    0 |    0 |      0
 -0.999575 | -0.0291366 |  0.0291366 |  0.999575 |    0 |    0 |      0
 -0.896275 | -0.443499  |  0.443499  |  0.896275 |    0 |    0 |      0
 -0.999698 | -0.0245697 |  0.0245697 |  0.999698 |    0 |    0 |      0
 -0.999402 | -0.0345774 |  0.0345774 |  0.999402 |    0 |    0 |      0
 -0.999183 | -0.0404094 |  0.0404094 |  0.999183 |    0 |    0 |      0
 -0.999928 |  0.0120324 |  0.0120324 | -0.999928 |    0 |    0 |      0
 -0.999894 |  0.0145661 |  0.0145661 | -0.999894 |    0 |    0 |      0

# MÉTODO: Quinto Sub-caso 3

        x1 |         x2 |        x3 |        x4 |   x5 |   x6 |   res.
